단어,빈도수
비로소,34
맞이,34
조차도,34
기꺼이,34
감당,34
보았던,34
잊지,34
어린,34
비,34
로소,34
끝났다는,34
남아,34
있었다는,34
벅찬,34
감각,34
유일한,34
해준,34
가운,34
막상,34
내밀었을,34
쏘는,34
감았으며,34
기쁨,34
대신,34
강한,34
부끄러움,34
장의,34
경사,34
떠들,34
체험,34
생긴,34
만은,34
아니었,34
더욱,34
택,34
이유,34
암실,34
느낀,34
환희,34
원기,34
회복할,34
예술,34
묘,34
삼킨,34
느꼈던,34
무렵,34
무너진,34
버틴,34
수심,34
소식,34
듣고,34
황곡,34
찾은,34
젊은,34
보내게,34
에게는,34
그저,34
익숙해지는,34
함께,34
사는,34
방식,34
아니었다,34
먹,34
찍는,34
아무,34
구원,34
이라,34
먹한,34
사이,34
놓인,34
간격,34
진기,34
어느,34
들어갈,34
시작,34
끝나는,34
사진이었다,34
포착,34
인화,34
지에,34
드러난,34
빛일,34
뿐이었다,34
냄새,34
맡고,34
통증,34
느끼고,34
흘릴,34
생생하였다니,34
향,34
막,34
받기에는,34
되려고,34
문,34
닫고,34
떠나,34
버린,34
음산한,34
황곡시,34
발,34
묶었다,34
깊음,34
각각,34
두려움,34
서글픔,34
복기,34
해보았다,34
아직,34
외,34
롭고,34
슬프고,34
피로한,34
정처,34
헤매는,34
비애,34
어렸던,34
고통스럽게만,34
아닐지도,34
모른다,34
결박,34
이전,34
묶였던,34
당함으로써,34
첫,34
지키려,34
했고,34
그럼,34
으로써,34
에도,34
거나,34
않고서도,34
동시,34
유사한,34
많았는,34
억눌리거나,34
해설,34
파묻히지,34
김병익,34
바라볼,34
빌려,34
기쁠,34
다는,34
일상,34
가지,34
방향성,34
당,34
무력한,34
오기,34
버티면서,34
버리고,34
젊음,34
던지며,34
참,34
담한,34
우수,34
젖어,34
들이었고,34
타,34
당해,34
보일,34
수도,34
공,34
히,34
다루는,34
빈곤,34
어찌,34
차라리,34
빚,34
어진,34
가정,34
파탄,34
살아야,34
전시,34
대적,34
세태,34
관련,34
점,34
따뜻함이나,34
검,34
이어진,34
우,34
울,34
비참,34
등,34
규정,34
하려니,34
조금,34
주저,34
걷어,34
낼,34
통과,34
결핍,34
에만,34
시달려야,34
하는가,34
아니라고,34
싶은,34
근원,34
존재,34
것이므,34
도저히,34
지울,34
편안함,34
므,34
마냥,34
여겨,34
된다거나,34
오인,34
하자는,34
기분,34
거의,34
드러난다,34
해도,34
환함이나,34
개,34
최근,34
검정,34
흰색,34
나타났다고,34
거기,34
할수,34
알려,34
준,34
대로,34
텅,34
빔,34
blank,34
blanc,34
검음,34
black,34
불꽃,34
flame,34
""",",34
반,34
대,34
이기,34
보다는,34
통,34
희거나,34
검거,34
밝거나,34
어둡거나,34
높고,34
화려하고,34
시끄러운,34
있지,34
찾아다니며,34
작고,34
조용한,34
저으,34
떴다,34
있게,34
만들고,34
긍정,34
하고야,34
만다,34
따뜻하게,34
감싸안고,34
달콤하게,34
위로,34
차가운,34
체념,34
긴장,34
고투,34
대결,34
치열하지만,34
따뜻하지,34
차창,34
해롭지,34
않지만,34
다행,34
스럽다,34
결코,34
벗겨지지,34
절대로,34
벗겨질,34
따라가는,34
이야,34
혹독함이,34
존엄,34
함,34
정념,34
용기,34
변할,34
돌아서지,34
않는,34
연약함을,34
연약함으로,34
인한,34
고통,34
전환,34
그리고,34
우리,34
하여금,34
안도,34
고마워하게,34
이마,34
국문학,34
전집,34
024,34
C,34
2017,34
초판,34
붙이,34
2017년,34
12월,34
20일,34
전자책,34
2018년,34
1월,34
8일,34
질주,34
펴낸이,34
믿지,34
현숙,34
펴낸,34
주,34
출판,34
등록,34
1993년,34
10월,34
22일,34
406-2003,34
000045,34
호,34
주소,34
10881,34
경기도,34
파주시,34
회,34
동,34
210,34
전자우편,34
대표,34
입자,34
뚫어지게,34
바라보았다,34
팩스,34
문의,34
마케팅,34
카페,34
진정,34
판권,34
있습니다,34
내용,34
전부,34
또는,34
재사용,34
하려면,34
반드시,34
양,34
측,34
서면,34
동의,34
받아야,34
합니다,34
낮고,34
