단어,빈도수
호주머니,15
일제,15
외,15
이유,15
람,15
얘기,15
금,15
계곡,15
잡고,15
너머,15
윤,15
코트,15
인화,15
이해,15
운,15
지난,15
인화지,15
자세,15
자꾸만,15
후회,15
옥상,15
눈앞,15
다가,15
재,15
하자,15
성,14
준비,14
손톱,14
마당,14
약,14
부장,14
오전,14
관,14
카페,14
기색,14
암실,14
지나,14
배낭,14
상체,14
인적,14
차창,14
여관,14
삼,14
잠자코,14
가면,14
이후,14
누나,14
가까이,14
흉터,14
원,14
털,14
내내,14
작,14
짐,14
사진기,14
민영,14
그늘,14
대뜸,14
한강,14
기운,14
폭발,13
자료,13
작가,13
정작,13
뿔,13
신음,13
칼,13
강원도,13
비틀,13
최대한,13
시내,13
통과,13
녀석,13
풀,13
그림자,13
활짝,13
변,13
여덟,13
승용차,13
콘크리트,13
리가,13
육체,13
초반,13
대체,13
엄마,13
신,13
목구멍,13
감고,13
방문,13
막상,13
화,13
일곱,13
지하철,13
느,13
줄곧,13
주민,13
산들,13
소스,13
한숨,13
피로,13
부탁,13
석탄,13
경계,13
법,13
어쩌면,13
화장실,13
농담,13
전부,13
면서,13
린,13
공포,13
적요,13
눈살,13
형광등,13
윤곽,13
이내,13
빚,13
중앙,13
초등학교,12
불꽃,12
어진,12
짓,12
겨,12
더러,12
질,12
찾기,12
집의,12
대화,12
매,12
머리카락,12
대학,12
진짜,12
외로움,12
찍,12
답,12
판,12
고작,12
용,12
임영석,12
간밤,12
테이블,12
호기심,12
대꾸,12
오른쪽,12
이건,12
글쎄,12
자취,12
매우,12
과연,12
눈송이,12
은행,12
데리,12
속력,12
점심,12
사방,12
가게,12
다행,12
지붕,12
파마머리,12
대고,12
오지,12
움직,12
판단,12
시체,12
물건,12
시청,12
화숙,12
저쪽,12
의아,11
원피스,11
경관,11
구름,11
세시,11
줄기,11
지갑,11
천,11
고스,11
계획,11
눈꺼풀,11
안간힘,11
스물,11
머,11
통증,11
간다,11
주,11
살피,11
춤,11
날씨,11
서로,11
팔짱,11
약속,11
재차,11
음악,11
과자,11
장면,11
크기,11
복도,11
소파,11
시각,11
평,11
름,11
끈,11
흡사,11
중간,11
누가,11
열쇠,11
만난,11
건가,11
찍기,11
흠,11
뭔가,11
제발,11
역전,11
도착,11
꽃,11
이력서,11
사물,11
아홉,11
호의,11
화산,11
가장자리,11
행,11
지난해,11
장소,11
토,11
직전,11
초,11
주의,11
인물,11
문득,11
아랫목,11
시늉,11
목발,11
회,11
마찬가지,11
의심,10
운동장,10
제약회사,10
주소,10
여자애,10
최근,10
승강기,10
저었다,10
손등,10
가까스로,10
분노,10
버,10
방파제,10
강,10
일찍,10
졸음,10
맨,10
주변,10
식구,10
방바닥,10
안도,10
평소,10
다소,10
소로,10
절망,10
조각,10
마침,10
정류장,10
별안간,10
차라리,10
좀더,10
선반,10
소녀,10
안고,10
나이트클럽,10
약초,10
실제,10
황곡시,10
모서리,10
손아귀,10
두번째,10
수건,10
모조리,10
자국,10
벌써,10
지대,10
대부분,10
로부터,10
관심,10
맨발,10
전화기,10
오기,10
죽음,10
곁,10
푸른,10
경멸,10
회색,10
십여,10
취한,10
꽤,10
인사,10
내면,10
만날,10
럼,10
오십,10
직장,10
번쩍,10
지점,10
즈음,10
깊이,10
사흘,10
딸,10
분위기,10
수십,10
둥,10
튜브,10
여덟시,9
그다지,9
근무,9
마는,9
습관,9
폐교,9
안방,9
가기,9
주로,9
자고,9
이틀,9
바깥쪽,9
각,9
제안,9
바구니,9
선생님,9
카,9
방이,9
공부,9
비로소,9
횡단보도,9
국도,9
과정,9
맑은,9
간격,9
은밀,9
위쪽,9
안전모,9
워,9
덩,9
불구,9
