단어,빈도수
떠난,23
낮,23
달리,23
들은,23
수화기,23
타,23
거나,23
빈,23
라도,23
으로는,23
대합실,23
책상,23
상,23
울음,23
한다는,23
공기,23
결국,23
조금씩,22
오는,22
좋은,22
친구,22
눈발,22
찍은,22
받은,22
잠들어,22
했고,22
짐작,22
여행,22
폐,22
천장,22
에게서,22
쥐,22
다만,22
서는,22
완전히,22
전의,22
치고,22
습기,22
수가,22
금방,22
나갔다,22
만이,22
아주,22
같기도,22
말고,22
뒷,22
발견,22
가득,22
북,22
십대,22
편,22
있게,22
지도,21
낸,21
소설,21
동네,21
첫,21
가진,21
죽,21
보일,21
꺼내,21
미터,21
식당,21
지난,21
상상,21
암,21
구두,21
과는,21
미소,21
앉은,21
기도,21
그럴,21
모르는,21
보이,21
깨,21
테,21
아무래도,21
들어갔다,21
이에요,21
다섯,21
둘,21
짓,21
뒷모습,21
없,21
만일,21
오빠,21
호,21
들지,21
놓인,21
있어요,21
주었다,21
들이었다,21
성격,21
그동안,21
가야,21
까닭,20
황,20
불안,20
아닌,20
그냥,20
시계,20
준,20
보며,20
감정,20
가족,20
둔,20
정리,20
나간,20
오늘,20
처,20
시절,20
뭘,20
좋지,20
죽은,20
없다는,20
많이,20
않았,20
멈추어,20
내일,20
놀랐다,20
배,20
물이,20
일단,20
스러운,20
오랜,20
···,20
만은,20
석,20
설명,20
바,19
밑,19
봄,19
감각,19
투성이,19
싶은,19
버릴,19
젖은,19
나면,19
주름,19
무수,19
봐,19
문장,19
이를,19
길이,19
쉬,19
두고,19
근처,19
어딘가,19
가까운,19
짝,19
방향,19
어둡고,19
남,19
손바닥,19
필요,19
이어,19
똑바로,19
터널,19
매점,19
있을까,19
드는,19
보지,19
아무런,19
일요일,19
안전,19
애가,19
몸뚱이,19
섰다,19
일기,19
이십,18
제대로,18
수첩,18
걸음걸이,18
듣고,18
편이,18
땅속,18
뛰,18
화,18
정신,18
하루,18
서서히,18
도로,18
있으면,18
객차,18
잠깐,18
발짝,18
죽고,18
마주,18
이빨,18
와는,18
구조,18
원래,18
조그만,18
그렇다면,18
자기,18
긴장,18
한쪽,18
정,18
구석,18
사랑,18
녀,18
있다가,18
관계,18
왔던,18
반복,18
아닐까,18
안쪽,18
얼,18
듣지,18
확인,18
글,18
찾아,18
란,18
나가,18
입고,18
걱정,18
가요,18
곧,18
고함,18
없어요,18
차례,18
머릿속,18
틈,18
시가지,18
역,17
머리털,17
편지,17
올,17
흔적,17
좁은,17
나무,17
보기,17
렸다,17
기분,17
맨,17
살이,17
오랫동안,17
지하,17
몸부림,17
직접,17
곤,17
문제,17
뜻,17
